datetime,temperature real,temperature predict,humidity real,humidity predict
04/04/2021 18:38,22.0,26.63,77.0,45.78
04/04/2021 18:49,22.0,26.67,77.0,45.48
04/04/2021 18:59,22.0,26.71,78.0,45.22
04/04/2021 19:09,22.0,26.75,78.0,44.95
04/04/2021 19:19,22.0,26.79,79.0,44.68
04/04/2021 19:29,22.0,26.84,80.0,44.41
04/04/2021 19:51,22.0,26.92,81.0,43.83
04/04/2021 20:01,22.0,26.97,81.0,43.56
04/04/2021 20:11,22.0,27.01,80.0,43.29
04/04/2021 20:22,22.0,27.05,81.0,43.0
04/04/2021 20:32,22.0,27.09,81.0,42.73
04/04/2021 20:42,21.0,27.13,83.0,42.46
04/04/2021 20:52,21.0,27.17,84.0,42.2
04/04/2021 21:03,21.0,18.66,84.0,28.21
04/04/2021 21:13,21.0,18.74,85.0,64.7
04/04/2021 21:23,21.0,18.81,85.0,79.86
04/04/2021 21:33,21.0,18.89,85.0,79.6
04/04/2021 21:43,21.0,18.96,86.0,79.33
04/04/2021 21:54,21.0,19.05,87.0,79.03
04/04/2021 22:04,21.0,19.12,87.0,78.77
04/04/2021 22:14,21.0,19.2,83.0,78.5
04/04/2021 22:24,21.0,19.28,84.0,78.23
04/04/2021 22:34,21.0,19.35,84.0,77.97
04/04/2021 22:45,21.0,19.44,84.0,77.67
04/04/2021 22:56,21.0,19.52,84.0,77.38
04/04/2021 23:12,21.0,19.64,87.0,76.95
05/04/2021 12:11,26.0,-2.26,63.0,74.68
05/04/2021 12:13,26.0,-2.26,63.0,74.85
05/04/2021 12:14,26.0,-2.26,63.0,74.93
05/04/2021 12:26,26.0,-2.3,62.0,75.91
05/04/2021 13:37,26.0,0.85,62.0,41.57
05/04/2021 13:47,26.0,1.12,62.0,42.23
05/04/2021 13:57,26.0,2.47,62.0,43.78
05/04/2021 14:08,26.0,6.09,63.0,47.26
05/04/2021 14:18,27.0,9.39,62.0,50.39
05/04/2021 14:28,27.0,13.13,62.0,53.87
05/04/2021 14:39,27.0,17.18,62.0,57.61
05/04/2021 14:49,26.0,21.29,63.0,61.39
05/04/2021 14:59,26.0,25.27,63.0,65.35
05/04/2021 15:10,26.0,28.99,62.0,69.57
05/04/2021 15:20,26.0,32.39,62.0,73.51
05/04/2021 15:30,26.0,34.78,62.0,77.01
05/04/2021 15:40,26.0,36.42,62.0,79.63
05/04/2021 15:51,26.0,37.32,62.0,81.57
05/04/2021 16:01,26.0,37.5,63.0,82.59
05/04/2021 16:12,26.0,37.12,62.0,82.92
05/04/2021 17:03,20.0,3.53,90.0,73.46
05/04/2021 17:14,20.0,9.53,90.0,98.93
05/04/2021 17:24,25.0,16.81,67.0,112.54
05/04/2021 17:34,24.0,24.62,68.0,89.68
05/04/2021 17:44,24.0,31.72,69.0,62.23
05/04/2021 17:54,24.0,37.21,70.0,57.57
05/04/2021 18:05,22.0,40.26,84.0,74.79
05/04/2021 18:15,22.0,40.41,84.0,103.17
05/04/2021 18:25,22.0,37.94,85.0,121.92
05/04/2021 18:35,21.0,33.6,85.0,116.74
05/04/2021 18:45,21.0,28.08,85.0,97.25
05/04/2021 18:56,21.0,22.75,86.0,82.88
05/04/2021 19:06,21.0,18.73,86.0,86.27
05/04/2021 19:16,21.0,16.61,90.0,101.24
05/04/2021 19:26,21.0,16.65,90.0,115.53
05/04/2021 19:37,21.0,18.52,90.0,116.42
05/04/2021 19:47,21.0,21.51,90.0,105.56
05/04/2021 19:57,21.0,24.9,91.0,95.06
05/04/2021 20:07,21.0,27.37,91.0,95.49
05/04/2021 20:17,21.0,28.55,85.0,104.57
05/04/2021 20:28,21.0,27.81,86.0,107.62
05/04/2021 20:38,21.0,26.14,87.0,98.35
05/04/2021 20:48,21.0,24.18,87.0,91.81
05/04/2021 20:58,21.0,22.54,88.0,94.66
05/04/2021 21:08,21.0,-0.07,88.0,1.99
05/04/2021 21:19,21.0,0.09,88.0,2.81
05/04/2021 21:29,21.0,0.25,88.0,3.45
05/04/2021 21:39,21.0,0.43,85.0,3.9
05/04/2021 21:49,21.0,0.62,85.0,4.37
05/04/2021 21:59,21.0,0.81,86.0,5.08
05/04/2021 22:10,21.0,0.98,86.0,6.04
05/04/2021 22:20,21.0,1.08,86.0,6.75
05/04/2021 22:30,21.0,1.17,86.0,7.11
05/04/2021 22:40,21.0,1.3,86.0,7.42
05/04/2021 22:50,21.0,1.47,86.0,8.03
05/04/2021 23:01,21.0,1.68,86.0,8.95
