datetime,temperature real,temperature predict,humidity real,humidity predict
09/04/2021 16:48,24.0,24.66,60.0,77.59
09/04/2021 16:58,24.0,24.73,60.0,77.79
09/04/2021 17:09,23.0,24.81,61.0,78.0
09/04/2021 17:19,23.0,24.88,60.0,78.2
09/04/2021 17:34,23.0,21.48,61.0,78.25
09/04/2021 17:45,22.0,21.51,61.0,78.5
09/04/2021 17:55,22.0,21.54,62.0,78.73
09/04/2021 18:05,22.0,21.57,63.0,78.96
09/04/2021 18:15,22.0,21.6,63.0,79.19
09/04/2021 18:26,22.0,21.62,65.0,79.44
09/04/2021 18:36,22.0,21.65,65.0,79.66
09/04/2021 18:46,21.0,21.68,66.0,79.89
09/04/2021 18:56,21.0,21.71,67.0,80.12
09/04/2021 19:07,21.0,21.74,69.0,80.37
09/04/2021 19:17,21.0,21.76,69.0,80.6
09/04/2021 19:27,21.0,21.79,70.0,80.83
09/04/2021 19:37,21.0,21.82,71.0,81.06
09/04/2021 19:48,21.0,21.85,71.0,81.31
09/04/2021 19:58,20.0,21.87,72.0,81.54
09/04/2021 20:08,19.0,21.9,74.0,81.76
09/04/2021 20:18,19.0,21.93,74.0,81.99
09/04/2021 20:29,19.0,21.96,75.0,82.24
09/04/2021 20:39,19.0,21.98,76.0,82.47
09/04/2021 20:49,19.0,22.01,77.0,82.7
09/04/2021 21:00,19.0,22.04,77.0,82.95
09/04/2021 21:10,19.0,22.07,78.0,83.18
09/04/2021 21:20,19.0,22.09,74.0,83.41
09/04/2021 21:30,19.0,22.12,75.0,83.64
09/04/2021 21:41,19.0,22.15,76.0,83.89
09/04/2021 21:51,18.0,22.18,76.0,84.11
09/04/2021 22:01,18.0,22.2,77.0,84.34
09/04/2021 22:11,18.0,22.23,76.0,84.57
09/04/2021 22:22,18.0,22.26,76.0,84.82
09/04/2021 22:32,18.0,22.29,77.0,85.05
09/04/2021 22:42,18.0,22.31,77.0,85.28
09/04/2021 22:52,18.0,22.34,77.0,85.51
09/04/2021 23:02,18.0,22.37,77.0,85.74
09/04/2021 23:13,18.0,22.4,84.0,85.99
09/04/2021 23:23,18.0,22.42,84.0,86.21
09/04/2021 23:33,17.0,22.45,84.0,86.44
09/04/2021 23:43,17.0,16.56,85.0,64.84
09/04/2021 23:53,17.0,16.56,86.0,65.02
10/04/2021 00:03,17.0,18.46,82.0,60.75
10/04/2021 00:14,17.0,18.62,81.0,61.86
10/04/2021 00:24,17.0,18.6,81.0,62.03
10/04/2021 00:34,17.0,18.58,81.0,62.08
10/04/2021 00:44,17.0,18.56,82.0,62.07
10/04/2021 00:54,17.0,18.54,82.0,62.06
10/04/2021 01:05,17.0,18.52,82.0,62.03
10/04/2021 01:15,17.0,18.5,87.0,62.0
10/04/2021 01:25,17.0,18.48,87.0,61.97
10/04/2021 01:35,17.0,18.46,88.0,61.95
10/04/2021 01:45,17.0,18.44,88.0,61.92
10/04/2021 01:55,17.0,18.42,88.0,61.89
10/04/2021 02:06,17.0,18.4,88.0,61.86
10/04/2021 02:16,17.0,18.38,85.0,61.83
10/04/2021 02:26,17.0,18.36,85.0,61.8
10/04/2021 02:36,17.0,18.34,85.0,61.77
10/04/2021 02:46,16.0,18.32,86.0,61.75
10/04/2021 02:56,16.0,18.3,86.0,61.72
10/04/2021 03:07,16.0,18.28,86.0,61.69
10/04/2021 03:17,16.0,18.26,88.0,61.66
